latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
11.57,-14.08,328.5,3.5,1.8,2015-05-06, 15:00,A,81,5.0       ,293,113.6
11.581,-13.985,343.6,3.6,1.8,2015-05-06, 15:00,A,92,5.0       ,294.2,276.5
11.109,-14.029,334.4,3.5,1.8,2015-05-06, 15:00,A,70,5.0       ,289.6,150.1
32.279,-88.827,312.8,1,1,2015-05-06, 16:45,T,47,5.0       ,299.4,9.1
31.569,-84.466,313.2,1.6,1.2,2015-05-06, 16:45,T,49,5.0       ,296.2,19
31.975,-86.043,347.7,1.3,1.1,2015-05-06, 16:45,T,94,5.0       ,299.2,88.5
31.978,-86.056,316.9,1.3,1.1,2015-05-06, 16:45,T,59,5.0       ,295.5,19.7
31.985,-86.041,318.5,1.3,1.1,2015-05-06, 16:45,T,62,5.0       ,298.9,21.5
32.281,-86.312,313.8,1.2,1.1,2015-05-06, 16:45,T,45,5.0       ,302.3,11.7
33.25,-88.652,337.4,1,1,2015-05-06, 16:45,T,88,5.0       ,301.7,39.1
33.257,-88.639,315.7,1,1,2015-05-06, 16:45,T,64,5.0       ,298.3,9.7
33.259,-88.65,320.3,1,1,2015-05-06, 16:45,T,72,5.0       ,301.5,15.4
32.444,-83.105,314.8,1.8,1.3,2015-05-06, 16:45,T,62,5.0       ,299.5,27.7
32.82,-84.819,336.1,1.4,1.2,2015-05-06, 16:45,T,87,5.0       ,299.2,70.9
32.822,-84.834,340.2,1.4,1.2,2015-05-06, 16:45,T,90,5.0       ,297.5,82.6
34.026,-91.076,318.2,1.1,1,2015-05-06, 16:45,T,35,5.0       ,305.1,16.4
34.48,-88.661,315.5,1,1,2015-05-06, 16:45,T,62,5.0       ,302.3,8.1
33.598,-81.068,315.6,2.3,1.5,2015-05-06, 16:45,T,53,5.0       ,298.3,46.5
33.594,-81.064,314.4,2.3,1.5,2015-05-06, 16:45,T,60,5.0       ,296.8,44.2
11.047,-14.419,328,3.2,1.7,2015-05-06, 15:00,A,73,5.0       ,292.7,105.6
11.061,-14.301,325.6,3.3,1.7,2015-05-06, 15:00,A,79,5.0       ,292.7,84.3
11.065,-14.271,344.6,3.3,1.7,2015-05-06, 15:00,A,92,5.0       ,293.2,263
